Rank,Year,Position,Name,Age,Wins,Losses,Winning_Percentage,Earned_Run_Average,Games_Played,Games_Started,Games_Finished,Complete_Games,Shutouts,Saves,Innings_Pitched,Hits_Allowed,Runs_Allowed,Earned_Runs,Home_Runs_Allowed,Walks_Allowed,Intentional_Walks_Allowed,Strikeouts,Hit_By_Pitch,Balks,Wild_Pitches,Batters_Faced,Adjusted_Earned_Run_Average,Fielding_Independent_Pitching,Walks_Hits_Per_Inning_Pitched,Hits_Per_Nine_Innings,Home_Runs_Per_Nine_Innings,Walks_Per_Nine_Innings,Strikeouts_Per_Nine_Innings,Strikeout_Walk_Ratio,Dominant_Hand,Switch_Hitter
6,2008,CL,Billy Wagner,36,0,1,0.0,2.3,45,0,34,0,0,27,47.0,32,17,12,4,10,0,52,0,0,2,184,185,2.66,0.894,6.1,0.8,1.9,10.0,5.2,Left,No
7,2008,RP,Aaron Heilman,29,3,8,0.273,5.21,78,0,23,0,0,3,76.0,75,48,44,10,46,8,80,9,0,2,356,81,4.91,1.592,8.9,1.2,5.4,9.5,1.74,Right,No
8,2008,RP,Joe Smith,24,6,3,0.667,3.55,82,0,12,0,0,0,63.1,51,28,25,4,31,4,52,4,0,1,271,119,3.97,1.295,7.2,0.6,4.4,7.4,1.68,Right,No
9,2008,RP,Scott Schoeneweis,34,2,6,0.25,3.34,73,0,12,0,0,1,56.2,55,23,21,7,23,6,34,4,0,3,243,127,4.97,1.376,8.7,1.1,3.7,5.4,1.48,Left,No
10,2008,RP,Pedro Feliciano,31,3,4,0.429,4.05,86,0,14,0,0,2,53.1,57,24,24,7,26,8,50,3,0,2,237,105,4.59,1.556,9.6,1.2,4.4,8.4,1.92,Left,No
11,2008,,Duaner Sanchez,28,5,1,0.833,4.32,66,0,14,0,0,0,58.1,54,28,28,6,23,3,44,3,0,2,254,98,4.3,1.32,8.3,0.9,3.5,6.8,1.91,Right,No
12,2008,,Nelson Figueroa,34,3,3,0.5,4.57,16,6,2,0,0,0,45.1,48,26,23,3,26,1,36,2,0,0,211,93,4.26,1.632,9.5,0.6,5.2,7.1,1.38,Right,No
13,2008,,Claudio Vargas,30,3,2,0.6,4.62,11,4,2,0,0,0,37.0,33,20,19,4,11,0,20,2,0,1,150,92,4.51,1.189,8.0,1.0,2.7,4.9,1.82,Right,No
14,2008,,Brian Stokes,28,1,0,1.0,3.51,24,1,5,0,0,1,33.1,35,13,13,5,8,3,26,0,0,1,138,121,4.24,1.29,9.5,1.4,2.2,7.0,3.25,Right,No
15,2008,,Carlos Muniz,27,1,1,0.5,5.4,18,0,8,0,0,0,23.1,24,14,14,4,7,0,16,2,0,2,100,79,5.15,1.329,9.3,1.5,2.7,6.2,2.29,Right,No
16,2008,,Jorge Sosa,30,4,1,0.8,7.06,20,0,8,0,0,0,21.2,30,23,17,4,11,4,12,0,0,2,107,61,5.95,1.892,12.5,1.7,4.6,5.0,1.09,Right,No
17,2008,,Luis Ayala,30,1,2,0.333,5.5,19,0,13,0,0,9,18.0,23,12,11,3,2,0,14,0,0,0,78,78,4.08,1.389,11.5,1.5,1.0,7.0,7.0,Right,No
18,2008,,Jon Niese,21,1,1,0.5,7.07,3,3,0,0,0,0,14.0,20,11,11,2,8,0,11,0,0,0,69,61,5.13,2.0,12.9,1.3,5.1,7.1,1.38,Left,No
19,2008,,Brandon Knight,32,1,0,1.0,5.25,4,2,0,0,0,0,12.0,14,7,7,0,7,0,10,2,0,0,57,83,3.72,1.75,10.5,0.0,5.3,7.5,1.43,Right,No
20,2008,,Tony Armas,30,1,0,1.0,7.56,3,1,1,0,0,0,8.1,11,7,7,2,1,0,6,0,0,1,37,58,5.17,1.44,11.9,2.2,1.1,6.5,6.0,Right,No
21,2008,,Matt Wise,32,0,1,0.0,6.43,8,0,5,0,0,0,7.0,10,5,5,2,3,1,6,0,0,0,34,69,6.42,1.857,12.9,2.6,3.9,7.7,2.0,Right,No
22,2008,,Bobby Parnell,23,0,0,0.0,5.4,6,0,3,0,0,0,5.0,3,3,3,0,2,0,3,0,0,1,19,84,3.13,1.0,5.4,0.0,3.6,5.4,1.5,Right,No
23,2008,,Ricardo Rincon,38,0,0,0.0,4.5,8,0,1,0,0,0,4.0,4,2,2,1,1,0,3,0,0,1,16,102,5.63,1.25,9.0,2.3,2.3,6.8,3.0,Left,No
24,2008,,Eddie Kunz,22,0,0,0.0,13.5,4,0,0,0,0,0,2.2,5,4,4,1,1,0,1,1,0,2,14,35,9.51,2.25,16.9,3.4,3.4,3.4,1.0,Right,No
1,2007,SP,Tom Glavine,41,13,8,0.619,4.45,34,34,0,1,1,0,200.1,219,102,99,23,64,2,89,4,0,2,855,97,4.86,1.413,9.8,1.0,2.9,4.0,1.39,Left,No
2,2007,SP,John Maine,26,15,10,0.6,3.91,32,32,0,1,1,0,191.0,168,90,83,23,75,3,180,5,0,2,810,110,4.18,1.272,7.9,1.1,3.5,8.5,2.4,Right,No
3,2007,SP,Oliver Pérez,25,15,10,0.6,3.56,29,29,0,0,0,0,177.0,153,90,70,22,79,1,174,7,0,6,765,121,4.35,1.311,7.8,1.1,4.0,8.8,2.2,Left,No
4,2007,SP,Orlando Hernández,41,9,5,0.643,3.72,27,24,0,0,0,0,147.2,109,64,61,23,64,4,128,5,0,2,608,116,4.93,1.172,6.6,1.4,3.9,7.8,2.0,Right,No
5,2007,SP,Mike Pelfrey,23,3,8,0.273,5.57,15,13,0,0,0,0,72.2,85,47,45,6,39,1,45,9,0,3,342,78,5.06,1.706,10.5,0.7,4.8,5.6,1.15,Right,No
6,2007,CL,Billy Wagner,35,2,2,0.5,2.63,66,0,57,0,0,34,68.1,55,22,20,6,22,4,80,2,0,4,282,164,3.09,1.127,7.2,0.8,2.9,10.5,3.64,Left,No
7,2007,RP,Aaron Heilman,28,7,7,0.5,3.03,81,0,28,0,0,1,86.0,72,36,29,8,20,1,63,5,0,2,352,142,3.86,1.07,7.5,0.8,2.1,6.6,3.15,Right,No
8,2007,RP,Pedro Feliciano,30,2,2,0.5,3.09,78,0,12,0,0,2,64.0,47,26,22,3,31,4,61,5,1,1,275,140,3.63,1.219,6.6,0.4,4.4,8.6,1.97,Left,No
9,2007,RP,Scott Schoeneweis,33,0,2,0.0,5.03,70,0,17,0,0,2,59.0,62,36,33,8,28,5,41,3,1,3,265,86,5.19,1.525,9.5,1.2,4.3,6.3,1.46,Left,No
10,2007,RP,Joe Smith,23,3,2,0.6,3.45,54,0,14,0,0,0,44.1,48,18,17,3,21,4,45,7,0,2,205,126,3.98,1.556,9.7,0.6,4.3,9.1,2.14,Right,No
11,2007,,Jorge Sosa,29,9,8,0.529,4.47,42,14,2,0,0,0,112.2,109,58,56,10,41,2,69,0,0,0,481,97,4.26,1.331,8.7,0.8,3.3,5.5,1.68,Right,No
12,2007,,Guillermo Mota,33,2,2,0.5,5.76,52,0,10,0,0,0,59.1,63,39,38,8,18,2,47,2,0,2,261,75,4.42,1.365,9.6,1.2,2.7,7.1,2.61,Right,No
13,2007,,Aaron Sele,37,3,2,0.6,5.37,34,0,10,0,0,0,53.2,78,34,32,5,21,2,29,2,0,0,250,81,4.66,1.845,13.1,0.8,3.5,4.9,1.38,Right,No
14,2007,,Brian Lawrence,31,1,2,0.333,6.83,6,6,0,0,0,0,29.0,43,22,22,4,13,1,18,1,0,1,139,64,5.24,1.931,13.3,1.2,4.0,5.6,1.38,Right,No
15,2007,,Pedro Martinez,35,3,1,0.75,2.57,5,5,0,0,0,0,28.0,33,11,8,0,7,1,32,2,0,1,128,169,1.92,1.429,10.6,0.0,2.3,10.3,4.57,Right,No
16,2007,,Ambiorix Burgos,23,1,0,1.0,3.42,17,0,5,0,0,0,23.2,17,10,9,3,9,0,19,2,0,2,98,128,4.68,1.099,6.5,1.1,3.4,7.2,2.11,Right,No
17,2007,,Jason Vargas,24,0,1,0.0,12.19,2,2,0,0,0,0,10.1,17,14,14,4,2,1,4,0,1,1,51,37,8.08,1.839,14.8,3.5,1.7,3.5,2.0,Left,No
18,2007,,Philip Humber,24,0,0,0.0,7.71,3,1,2,0,0,0,7.0,9,6,6,1,2,0,2,0,0,0,32,59,5.38,1.571,11.6,1.3,2.6,2.6,1.0,Right,No
19,2007,,Willie Collazo,27,0,0,0.0,6.35,6,0,1,0,0,0,5.2,7,4,4,0,5,1,0,0,0,0,27,72,5.89,2.118,11.1,0.0,7.9,0.0,0.0,Left,No
20,2007,,David Williams,28,0,1,0.0,22.85,2,1,1,0,0,0,4.1,12,11,11,2,5,1,2,0,0,1,29,20,11.78,3.923,24.9,4.2,10.4,4.2,0.4,Left,No
21,2007,,Chan Ho Park,34,0,1,0.0,15.75,1,1,0,0,0,0,4.0,6,7,7,2,2,0,4,0,0,1,20,30,9.24,2.0,13.5,4.5,4.5,9.0,2.0,Right,No
22,2007,,Carlos Muniz,26,0,0,0.0,7.71,2,0,1,0,0,0,2.1,1,2,2,0,2,0,2,0,0,0,10,64,4.1,1.286,3.9,0.0,7.7,7.7,1.0,Right,No
23,2007,,Lino Urdaneta,27,0,0,0.0,9.0,2,0,0,0,0,0,1.0,2,1,1,1,0,0,0,0,0,0,5,65,16.24,2.0,18.0,9.0,0.0,0.0,0.0,Right,No
24,2007,,Jon Adkins,29,0,0,0.0,0.0,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,0,3.24,0.0,0.0,0.0,0.0,0.0,0.0,Right,No
1,2006,SP,Tom Glavine,40,15,7,0.682,3.82,32,32,0,0,0,0,198.0,202,94,84,22,62,7,131,6,0,1,842,114,4.3,1.333,9.2,1.0,2.8,6.0,2.11,Left,No
2,2006,SP,Steve Trachsel,35,15,8,0.652,4.97,30,30,0,1,0,0,164.2,185,94,91,23,78,1,79,4,0,4,736,88,5.5,1.597,10.1,1.3,4.3,4.3,1.01,Right,No
3,2006,SP,Pedro Martinez,34,9,8,0.529,4.48,23,23,0,0,0,0,132.2,108,72,66,19,39,2,137,10,1,2,550,98,4.05,1.108,7.3,1.3,2.6,9.3,3.51,Right,No
4,2006,SP,Orlando Hernández,40,9,7,0.563,4.09,20,20,0,1,0,0,116.2,103,58,53,14,41,2,112,8,3,1,495,107,4.05,1.234,7.9,1.1,3.2,8.6,2.73,Right,No
5,2006,SP,John Maine,25,6,5,0.545,3.6,16,15,1,1,1,0,90.0,69,40,36,15,33,1,71,2,0,3,365,122,4.9,1.133,6.9,1.5,3.3,7.1,2.15,Right,No
6,2006,CL,Billy Wagner,34,3,2,0.6,2.24,70,0,59,0,0,40,72.1,59,22,18,7,21,1,94,4,0,2,297,196,2.84,1.106,7.3,0.9,2.6,11.7,4.48,Left,No
7,2006,RP,Aaron Heilman,27,4,5,0.444,3.62,74,0,14,0,0,0,87.0,73,37,35,5,28,2,73,3,0,5,356,121,3.28,1.161,7.6,0.5,2.9,7.6,2.61,Right,No
8,2006,RP,Chad Bradford,31,4,2,0.667,2.9,70,0,15,0,0,2,62.0,59,22,20,1,13,4,45,0,0,0,252,151,2.53,1.161,8.6,0.1,1.9,6.5,3.46,Right,No
9,2006,RP,Pedro Feliciano,29,7,2,0.778,2.09,64,0,10,0,0,0,60.1,56,15,14,4,20,1,54,3,0,1,256,210,3.36,1.26,8.4,0.6,3.0,8.1,2.7,Left,No
10,2006,RP,Duaner Sanchez,26,5,1,0.833,2.6,49,0,15,0,0,0,55.1,43,19,16,3,24,6,44,4,0,1,229,169,3.78,1.211,7.0,0.5,3.9,7.2,1.83,Right,No
11,2006,,Darren Oliver,35,4,1,0.8,3.44,45,0,10,0,0,0,81.0,70,33,31,13,21,2,60,3,0,1,333,127,4.64,1.123,7.8,1.4,2.3,6.7,2.86,Left,No
12,2006,,Alay Soler,26,2,3,0.4,6.0,8,8,0,1,1,0,45.0,50,33,30,7,21,1,23,1,0,3,208,73,5.61,1.578,10.0,1.4,4.2,4.6,1.1,Right,No
13,2006,,Brian Bannister,25,2,1,0.667,4.26,8,6,1,0,0,0,38.0,34,18,18,4,22,2,19,2,0,2,171,103,5.41,1.474,8.1,0.9,5.2,4.5,0.86,Right,No
14,2006,,Heath Bell,28,0,0,0.0,5.11,22,0,6,0,0,0,37.0,51,25,21,6,11,2,35,0,0,1,166,86,4.26,1.676,12.4,1.5,2.7,8.5,3.18,Right,No
15,2006,,Oliver Pérez,24,1,3,0.25,6.38,7,7,0,1,1,0,36.2,41,26,26,7,17,0,41,3,0,1,165,69,5.03,1.582,10.1,1.7,4.2,10.1,2.41,Left,No
16,2006,,David Williams,27,3,1,0.75,5.59,6,5,1,0,0,0,29.0,39,18,18,5,4,1,16,2,0,1,126,79,4.91,1.483,12.1,1.6,1.2,5.0,4.0,Left,No
17,2006,,Victor Zambrano,30,1,2,0.333,6.75,5,5,0,0,0,0,21.1,25,16,16,5,11,0,15,0,0,1,97,66,6.33,1.688,10.5,2.1,4.6,6.3,1.36,Right,No
18,2006,,Mike Pelfrey,22,2,1,0.667,5.48,4,4,0,0,0,0,21.1,25,14,13,1,12,0,13,3,0,2,99,81,4.65,1.734,10.5,0.4,5.1,5.5,1.08,Right,No
19,2006,,Jorge Julio,27,1,2,0.333,5.06,18,0,12,0,0,1,21.1,21,15,12,4,10,1,33,1,0,2,96,88,4.04,1.453,8.9,1.7,4.2,13.9,3.3,Right,No
20,2006,,Roberto Hernández,41,0,0,0.0,3.48,22,0,5,0,0,0,20.2,15,8,8,2,8,1,15,0,0,2,83,127,4.11,1.113,6.5,0.9,3.5,6.5,1.88,Right,No
21,2006,,Guillermo Mota,32,3,0,1.0,1.0,18,0,4,0,0,0,18.0,10,2,2,2,5,1,19,0,0,0,68,444,3.31,0.833,5.0,1.0,2.5,9.5,3.8,Right,No
22,2006,,José Lima,33,0,4,0.0,9.87,4,4,0,0,0,0,17.1,25,22,19,3,10,0,12,2,1,1,91,45,6.09,2.019,13.0,1.6,5.2,6.2,1.2,Right,No
23,2006,,Geremi González,31,0,0,0.0,7.71,3,3,0,0,0,0,14.0,21,12,12,4,6,1,8,0,0,0,67,58,7.0,1.929,13.5,2.6,3.9,5.1,1.33,Right,No
24,2006,,Royce Ring,25,0,0,0.0,2.13,11,0,2,0,0,0,12.2,7,3,3,2,3,0,8,0,0,0,48,210,4.65,0.789,5.0,1.4,2.1,5.7,2.67,Left,No
25,2006,,Henry Owens,27,0,0,0.0,9.0,3,0,1,0,0,0,4.0,4,4,4,0,4,0,2,0,0,0,19,53,5.15,2.0,9.0,0.0,9.0,4.5,0.5,Right,No
26,2006,,Bartolomé Fortunato,31,1,0,1.0,27.0,2,0,0,0,0,0,3.0,7,9,9,2,2,0,0,1,0,0,18,18,14.81,3.0,21.0,6.0,6.0,0.0,0.0,Right,No
27,2006,,Philip Humber,23,0,0,0.0,0.0,2,0,1,0,0,0,2.0,0,0,0,0,1,0,2,0,0,0,7,0,2.65,0.5,0.0,0.0,4.5,9.0,2.0,Right,No
1,2005,SP,Pedro Martinez,33,15,8,0.652,2.82,31,31,0,4,1,0,217.0,159,69,68,19,47,3,208,4,0,4,843,146,2.95,0.949,6.6,0.8,1.9,8.6,4.43,Right,No
2,2005,SP,Tom Glavine,39,13,13,0.5,3.53,33,33,0,2,1,0,211.1,227,88,83,12,61,5,105,3,0,1,901,116,3.67,1.363,9.7,0.5,2.6,4.5,1.72,Left,No
3,2005,SP,Kris Benson,30,10,8,0.556,4.13,28,28,0,0,0,0,174.1,171,86,80,24,49,5,95,4,0,4,737,100,4.63,1.262,8.8,1.2,2.5,4.9,1.94,Right,No
4,2005,SP,Victor Zambrano,29,7,12,0.368,4.17,31,27,2,0,0,0,166.1,170,85,77,12,77,2,112,15,2,8,748,99,4.27,1.485,9.2,0.6,4.2,6.1,1.45,Right,No
5,2005,SP,Kazuhisa Ishii,31,3,9,0.25,5.14,19,16,0,0,0,0,91.0,87,59,52,13,49,3,53,3,0,2,399,80,5.43,1.495,8.6,1.3,4.8,5.2,1.08,Left,No
6,2005,SP,Jae Weong Seo,28,8,2,0.8,2.59,14,14,0,1,0,0,90.1,84,26,26,9,16,0,59,1,0,2,363,159,3.57,1.107,8.4,0.9,1.6,5.9,3.69,Right,No
7,2005,CL,Braden Looper,30,4,7,0.364,3.94,60,0,54,0,0,28,59.1,65,31,26,7,22,3,27,5,0,1,271,105,5.01,1.466,9.9,1.1,3.3,4.1,1.23,Right,No
8,2005,RP,Aaron Heilman,26,5,3,0.625,3.17,53,7,20,1,1,5,108.0,87,40,38,6,37,4,106,6,1,1,439,130,2.97,1.148,7.3,0.5,3.1,8.8,2.86,Right,No
9,2005,RP,Roberto Hernández,40,8,6,0.571,2.58,67,0,20,0,0,4,69.2,57,20,20,5,28,4,61,2,0,4,291,160,3.49,1.22,7.4,0.6,3.6,7.9,2.18,Right,No
10,2005,RP,Heath Bell,27,1,3,0.25,5.59,42,0,12,0,0,0,46.2,56,30,29,3,13,3,43,1,1,0,206,74,2.91,1.479,10.8,0.6,2.5,8.3,3.31,Right,No
11,2005,RP,Dae-Sung Koo,35,0,0,0.0,3.91,33,0,4,0,0,0,23.0,22,12,10,2,13,1,23,2,0,0,106,107,4.11,1.522,8.6,0.8,5.1,9.0,1.77,Left,No
12,2005,,Steve Trachsel,34,1,4,0.2,4.14,6,6,0,0,0,0,37.0,37,20,17,6,12,0,24,1,0,1,157,100,4.88,1.324,9.0,1.5,2.9,5.8,2.0,Right,No
13,2005,,Juan Padilla,28,3,1,0.75,1.49,24,0,5,0,0,1,36.1,24,7,6,0,13,2,17,2,0,0,149,279,3.32,1.018,5.9,0.0,3.2,4.2,1.31,Right,No
14,2005,,Mike DeJean,34,3,1,0.75,6.31,28,0,12,0,0,0,25.2,36,19,18,3,18,2,17,1,0,2,131,66,5.44,2.104,12.6,1.1,6.3,6.0,0.94,Right,No
15,2005,,Manny Aybar,33,0,0,0.0,6.04,22,0,4,0,0,0,25.1,31,17,17,4,7,1,27,1,0,0,114,69,3.89,1.5,11.0,1.4,2.5,9.6,3.86,Right,No
16,2005,,Danny Graves,31,0,0,0.0,5.75,20,0,11,0,0,0,20.1,29,17,13,5,8,1,12,3,0,0,98,73,6.66,1.82,12.8,2.2,3.5,5.3,1.5,Right,No
17,2005,,Royce Ring,24,0,2,0.0,5.06,15,0,2,0,0,0,10.2,10,6,6,0,10,1,8,0,0,0,51,84,4.33,1.875,8.4,0.0,8.4,6.8,0.8,Left,No
18,2005,,Shingo Takatsu,36,1,0,1.0,2.35,9,0,4,0,0,0,7.2,11,2,2,2,3,1,6,0,0,0,38,183,6.02,1.826,12.9,2.3,3.5,7.0,2.0,Right,No
19,2005,,Jose Santiago,30,0,0,0.0,3.18,4,0,1,0,0,0,5.2,10,2,2,0,2,0,3,1,0,0,27,138,3.55,2.118,15.9,0.0,3.2,4.8,1.5,Right,No
20,2005,,Mike Matthews,31,1,0,1.0,10.8,6,0,0,0,0,0,5.0,9,6,6,0,4,1,2,0,0,2,28,41,4.62,2.6,16.2,0.0,7.2,3.6,0.5,Left,No
21,2005,,Félix Heredia,30,0,0,0.0,0.0,3,0,1,0,0,0,2.2,1,0,0,0,1,0,2,1,0,0,10,0,3.77,0.75,3.4,0.0,3.4,6.8,2.0,Left,No
22,2005,,Tim Hamulack,28,0,0,0.0,23.14,6,0,2,0,0,0,2.1,7,6,6,3,1,1,2,0,0,0,14,21,19.31,3.429,27.0,11.6,3.9,7.7,2.0,Left,No
1,2004,SP,Tom Glavine,38,11,14,0.44,3.6,33,33,0,1,1,0,212.1,204,94,85,20,70,10,109,0,0,0,904,119,4.24,1.29,8.6,0.8,3.0,4.6,1.56,Left,No
2,2004,SP,Steve Trachsel,33,12,13,0.48,4.0,33,33,0,0,0,0,202.2,203,104,90,25,83,9,117,5,2,4,881,107,4.8,1.411,9.0,1.1,3.7,5.2,1.41,Right,No
3,2004,SP,Al Leiter,38,10,8,0.556,3.21,30,30,0,0,0,0,173.2,138,65,62,16,97,8,117,11,1,1,750,133,4.76,1.353,7.2,0.8,5.0,6.1,1.21,Left,No
4,2004,SP,Jae Weong Seo,27,5,10,0.333,4.9,24,21,1,0,0,0,117.2,133,67,64,17,50,7,54,2,1,0,512,88,5.34,1.555,10.2,1.3,3.8,4.1,1.08,Right,No
5,2004,SP,Matt Ginter,26,1,3,0.25,4.54,15,14,0,0,0,0,69.1,82,41,35,8,20,5,38,5,0,1,313,94,4.53,1.471,10.6,1.0,2.6,4.9,1.9,Right,No
6,2004,SP,Kris Benson,29,4,4,0.5,4.5,11,11,0,1,1,0,68.0,65,37,34,8,17,3,51,4,0,3,290,95,4.0,1.206,8.6,1.1,2.3,6.8,3.0,Right,No
7,2004,CL,Braden Looper,29,2,5,0.286,2.7,71,0,60,0,0,29,83.1,86,28,25,5,16,3,60,3,0,1,346,159,3.07,1.224,9.3,0.5,1.7,6.5,3.75,Right,No
8,2004,RP,Mike Stanton,37,2,6,0.25,3.16,83,0,19,0,0,0,77.0,70,32,27,6,33,6,58,2,0,1,337,136,3.92,1.338,8.2,0.7,3.9,6.8,1.76,Left,No
9,2004,RP,Ricky Bottalico,34,3,2,0.6,3.38,60,0,8,0,0,0,69.1,54,30,26,3,34,7,61,4,0,3,296,127,3.5,1.269,7.0,0.4,4.4,7.9,1.79,Right,No
10,2004,RP,John Franco,43,2,7,0.222,5.28,52,0,16,0,0,0,46.0,46,28,27,6,24,2,36,1,0,2,207,81,4.81,1.522,9.0,1.2,4.7,7.0,1.5,Left,No
11,2004,RP,Orber Moreno,27,3,1,0.75,3.38,33,0,8,0,0,1,34.2,29,17,13,0,11,0,29,3,1,2,146,128,2.59,1.154,7.5,0.0,2.9,7.5,2.64,Right,No
12,2004,,Dan Wheeler,26,3,1,0.75,4.8,32,1,7,0,0,0,50.2,65,29,27,9,17,2,46,0,1,4,232,90,4.55,1.618,11.5,1.6,3.0,8.2,2.71,Right,No
13,2004,,Tyler Yates,26,2,4,0.333,6.36,21,7,2,0,0,0,46.2,61,36,33,6,25,3,35,3,1,1,228,68,5.02,1.843,11.8,1.2,4.8,6.8,1.4,Right,No
14,2004,,David Weathers,34,5,3,0.625,4.28,32,0,10,0,0,0,33.2,41,19,16,5,15,0,25,2,1,1,156,101,5.01,1.663,11.0,1.3,4.0,6.7,1.67,Right,No
15,2004,,Aaron Heilman,25,1,3,0.25,5.46,5,5,0,0,0,0,28.0,27,17,17,4,13,0,22,0,0,0,119,79,4.73,1.429,8.7,1.3,4.2,7.1,1.69,Right,No
16,2004,,Heath Bell,26,0,2,0.0,3.33,17,0,2,0,0,0,24.1,22,9,9,5,6,0,27,0,0,0,94,130,4.24,1.151,8.1,1.8,2.2,10.0,4.5,Right,No
17,2004,,Mike DeJean,33,0,0,0.0,1.69,17,0,8,0,0,0,21.1,21,5,4,0,5,2,24,2,0,2,91,257,1.78,1.219,8.9,0.0,2.1,10.1,4.8,Right,No
18,2004,,Bartolomé Fortunato,29,1,0,1.0,3.86,15,0,5,0,0,1,18.2,14,8,8,2,13,0,20,0,0,1,82,113,4.39,1.446,6.8,1.0,6.3,9.6,1.54,Right,No
19,2004,,Pedro Feliciano,27,1,1,0.5,5.4,22,0,3,0,0,0,18.1,14,12,11,2,12,0,14,1,0,1,82,81,5.07,1.418,6.9,1.0,5.9,6.9,1.17,Left,No
20,2004,,Jose Parra,31,1,0,1.0,3.21,13,0,7,0,0,0,14.0,14,6,5,2,6,1,14,0,0,0,61,136,4.19,1.429,9.0,1.3,3.9,9.0,2.33,Right,No
21,2004,,Victor Zambrano,28,2,0,1.0,3.86,3,3,0,0,0,0,14.0,12,9,6,0,6,0,14,0,0,1,62,114,2.33,1.286,7.7,0.0,3.9,9.0,2.33,Right,No
22,2004,,Scott Erickson,36,0,1,0.0,7.88,2,2,0,0,0,0,8.0,15,9,7,1,4,0,3,0,0,1,42,57,5.42,2.375,16.9,1.1,4.5,3.4,0.75,Right,No
23,2004,,James Baldwin,32,0,2,0.0,15.0,2,2,0,0,0,0,6.0,13,10,10,3,5,1,1,1,0,0,36,30,12.22,3.0,19.5,4.5,7.5,1.5,0.2,Right,No
24,2004,,Vic Darensbourg,33,0,1,0.0,7.94,5,0,2,0,0,0,5.2,10,5,5,1,2,0,1,0,0,0,28,57,6.05,2.118,15.9,1.6,3.2,1.6,0.5,Left,No
25,2004,,Grant Roberts,26,0,0,0.0,17.36,4,0,1,0,0,0,4.2,9,9,9,2,6,1,1,0,0,0,29,27,12.05,3.214,17.4,3.9,11.6,1.9,0.17,Right,No
26,2004,,Todd Zeile,38,0,0,0.0,45.0,1,0,1,0,0,0,1.0,4,5,5,0,2,0,0,0,0,0,9,13,9.05,6.0,36.0,0.0,18.0,0.0,0.0,Right,No
1,2003,SP,Steve Trachsel,32,16,10,0.615,3.78,33,33,0,2,2,0,204.2,204,90,86,26,65,9,111,3,2,5,857,111,4.59,1.314,9.0,1.1,2.9,4.9,1.71,Right,No
2,2003,SP,Jae Weong Seo,26,9,12,0.429,3.82,32,31,0,0,0,0,188.1,193,94,80,18,46,11,110,6,0,2,806,110,3.93,1.269,9.2,0.9,2.2,5.3,2.39,Right,No
3,2003,SP,Tom Glavine,37,9,14,0.391,4.52,32,32,0,0,0,0,183.1,205,94,92,21,66,7,82,2,0,2,791,93,4.74,1.478,10.1,1.0,3.2,4.0,1.24,Left,No
4,2003,SP,Al Leiter,37,15,9,0.625,3.99,30,30,0,1,1,0,180.2,176,83,80,15,94,11,139,9,1,5,798,106,4.28,1.494,8.8,0.7,4.7,6.9,1.48,Left,No
5,2003,SP,Aaron Heilman,24,2,7,0.222,6.75,14,13,0,0,0,0,65.1,79,53,49,13,41,2,51,3,0,5,315,63,6.08,1.837,10.9,1.8,5.6,7.0,1.24,Right,No
6,2003,CL,Armando Benítez,30,3,3,0.5,3.1,45,0,40,0,0,21,49.1,41,18,17,5,24,1,50,0,1,3,209,136,3.78,1.318,7.5,0.9,4.4,9.1,2.08,Right,No
7,2003,RP,David Weathers,33,1,6,0.143,3.08,77,0,20,0,0,7,87.2,87,33,30,6,40,6,75,6,0,1,384,137,3.78,1.449,8.9,0.6,4.1,7.7,1.88,Right,No
8,2003,RP,Mike Stanton,36,2,7,0.222,4.57,50,0,24,0,0,5,45.1,37,25,23,6,19,4,34,2,1,2,194,93,4.64,1.235,7.3,1.2,3.8,6.8,1.79,Left,No
9,2003,RP,Graeme Lloyd,36,1,2,0.333,3.31,36,0,12,0,0,0,35.1,39,16,13,2,7,2,17,0,0,1,149,128,3.4,1.302,9.9,0.5,1.8,4.3,2.43,Left,No
10,2003,RP,John Franco,42,0,3,0.0,2.62,38,0,13,0,0,2,34.1,35,11,10,5,13,2,16,1,0,2,148,162,5.22,1.398,9.2,1.3,3.4,4.2,1.23,Left,No
11,2003,,Dan Wheeler,25,1,3,0.25,3.71,35,0,10,0,0,2,51.0,49,23,21,6,17,4,35,1,0,1,215,114,4.25,1.294,8.6,1.1,3.0,6.2,2.06,Right,No
12,2003,,Pedro Feliciano,26,0,0,0.0,3.35,23,0,8,0,0,0,48.1,52,21,18,5,21,3,43,3,1,3,218,126,4.09,1.51,9.7,0.9,3.9,8.0,2.05,Left,No
13,2003,,Jeremy Griffiths,25,1,4,0.2,7.02,9,6,1,0,0,0,41.0,57,34,32,5,19,2,25,2,0,1,199,60,4.93,1.854,12.5,1.1,4.2,5.5,1.32,Right,No
14,2003,,Pedro Astacio,34,3,2,0.6,7.36,7,7,0,0,0,0,36.2,47,30,30,8,18,1,20,3,0,4,174,58,6.49,1.773,11.5,2.0,4.4,4.9,1.11,Right,No
15,2003,,Jaime Cerda,24,1,1,0.5,5.85,27,0,9,0,0,0,32.1,32,21,21,4,20,1,19,0,1,3,144,73,5.32,1.608,8.9,1.1,5.6,5.3,0.95,Left,No
